Timestamp,House Number,Street,Company,Number,Location,Collector,longitude,latitude
11/1/23 14:47,353,Brook Mead Drive,Airborne,1,"36.59718810363343, -87.40626491208462",JE,-87.4063,36.5972
11/1/23 14:47,348,Brook Mead Drive,Queen City,2,"36.59705459254049, -87.40611202618011",JE,-87.4061,36.5971
11/1/23 14:48,347,Brook Mead Drive,GFL,1,"36.596654057904026, -87.40632928509905",JE,-87.4063,36.5967
11/1/23 14:48,345,Brook Mead Drive,Waste Connections,1,"36.59642148844054, -87.40626222987211",JE,-87.4063,36.5964
11/1/23 14:48,341,Brook Mead Drive,Stinky Pinky,1,"36.596066172645244, -87.40613348384608",JE,-87.4061,36.5961
11/1/23 14:49,332,Whitehall Drive,Queen City,1,"36.595383531034166, -87.40581161878171",JE,-87.4058,36.5954
11/1/23 14:50,329,Brook Mead Drive,Airborne,2,"36.59485162627825, -87.40620858568802",JE,-87.4062,36.5949
11/1/23 14:51,318,Brook Mead Drive,GFL,1,"36.5943154108909, -87.40684695141687",JE,-87.4068,36.5943
11/1/23 14:52,188,Whitehall Drive,Waste Connections,1,"36.594937764940674, -87.40738071101029",JE,-87.4074,36.5949
11/1/23 14:52,185,Whitehall Drive,Airborne,1,"36.59531677394467, -87.40703738827348",JE,-87.407,36.5953
11/1/23 14:53,187,Whitehall Drive,WM,1,"36.5951854130862, -87.40711249012503",JE,-87.4071,36.5952
11/1/23 14:53,174,Whitehall Drive,GFL,1,"36.59577330504475, -87.40728415149309",JE,-87.4073,36.5958
